task_id,variant_id,status,batch,source_task_sha256,candidate_task_sha256
63,V0493,DRAFT_REWRITTEN,batch01,13346e3340c2e7d02ff55ef6639a04a3488317759f29f8870e996754fcffbc88,3feb0b5daf8a665fbe8eaf992a88d022db6facbce46ee5a972e284296bef59fc
66,V0904,DRAFT_REWRITTEN,batch01,0241c7ec6b118430e93082805fc622abb02dfca67ebee0dd5e2e595f48d4605d,519eac4bbcfb193d2a8185cabd18216305eb548f2106b529cb49c5ed2410314c
68,V0616,DRAFT_REWRITTEN,batch01,b880104230c6290e3b749c9f3c51366a25e6dface3fdd5a8c282c3af22e81b75,bf202a777e803f6df9038f7a841d4c7cdf31492181f421b45378273fbeff085b
71,V0198,DRAFT_REWRITTEN,batch01,fb17382f582fa93297f5d50fab2237e1fd97fbe9cf4b18c43c7b1c70aeebb471,433d1c69f53a33ef106494216e70244d830c58be11fca7406eab6fa816e21491
72,V0725,DRAFT_REWRITTEN,batch01,0e0a9d35c7db9e52b3ffb0803363e558918ed2f71f55130c93b27c58d3da8d8e,63b6eb8d090cecbdb88cf3d2b09a49b7575bb59b75809ba094777e75556a71b6
73,V0559,DRAFT_REWRITTEN,batch01,a2239d5e21d04ebf811bdd9ebab5ad7d677e5e1bdf6f777154beda23c18decdf,3e4e3458baba436c34ca64a5ea069fb985ad68c494a8be4aa8bc59611751ef03
74,V0573,DRAFT_REWRITTEN,batch01,cab3f305ed956c3ee6fe2aa2532bff6ed09eaa718d35e68efee960507160e51e,bd210cde3226bba2590766b82a6697005836a2347cd9bc4327833cb51d7b084b
78,V0886,DRAFT_REWRITTEN,batch01,ee076675e9912b172c0293f782cdca28714964c68d324f933b112625e9551d5a,680456929f493be349686adb9d7d6e71500d7b5ba64ac6a952bfe84f830ebf78
83,V0591,DRAFT_REWRITTEN,batch01,f01aa0971a2b3530c06bd5b2113f79e34e0476e756c4d5ae39d6b90b30da2bcf,2d908e3a94b84a24d4576116e3d8858080ad747d2568ac9a6282e8edef3f7919
85,V0206,DRAFT_REWRITTEN,batch01,5439b20a1b85fd28c6ca9522498133cc3b90d81b79bc1904a572a20226319245,86ffb03b0f20df438346073ea97a90de33d90546df30f8b98a5ad204a2bae147
86,V0932,DRAFT_REWRITTEN,batch01,f2cb1aa406435241522987be7488fb5ec5aeeea2c2983d28a7c87c72b0907d99,2aafc1dc6138deb76f7026f61b07d91762d54574901224a90c6c69662a01314d
88,V0585,DRAFT_REWRITTEN,batch01,52d3e736ea17b8fb0b42817428fbe17a833dd9210d6626a823bdb96aee61ad66,a0349e259060e776f2c80b934268287b21dffce97f212de9243d712139c686c8
91,V0712,DRAFT_REWRITTEN,batch01,853c0c8f38d841d26b5e500244b2cde15533c442c32b9d02c915d2c0c4512a6c,ae1cd21675deaaa46e94e34cb37ee2e24c7f0530dece6f7d9ac3032e3c55d703
92,V0902,DRAFT_REWRITTEN,batch01,8ee0027e4cd77413631a7179e8c5740b4c9f693423f9e85df56f352838af0f94,fca51001f48c09f9c5e954f16e1a70fc8e00c8b0657de78d1e1bd46ad027f17d
93,V0375,DRAFT_REWRITTEN,batch01,f9b54c3057a19341688458b57855c5822d74aa41e0f43bb59b7bd0a98dc97c44,a109e8843d79efdff5d0a2d8ddd464f90bbb776d73ce228efe170cc8eb3ddfdb
95,V0679,DRAFT_REWRITTEN,batch01,5e35e83542bfe7d590ec1dcb5226f2013e0d17494ffc31aebf56c3b9a57a0467,8babb0c33df113b56910c227b415e0cfe9d3cf7d0dce717e64aaa278408e7577
98,V0648,DRAFT_REWRITTEN,batch01,9e11388279e33ed3c0dd907b1468c30aaf378d79fdcfcbe08ab989201eaa5be3,477e025911ec7d437d269476044ae68e81deca9ed04bff04debcb5a1a6db1463
100,V0245,DRAFT_REWRITTEN,batch01,1d5aad4e6a692fb1715b073473a7b489c23f2d1943c168af29d6f87a2becac03,0567d012251df83eaa0f312aaa389475ab7a32a83d0fcf9cb5a533241d838801
101,V0514,DRAFT_REWRITTEN,batch01,4ea062cee3be7c0416d9eb87165b753df79d5ab1863dc5b014a2d898d238d4ce,023a0d65d50226e6ba37b3cca18e49b75a0f6ed386d298a28b488ed81d00ed9a
103,V0300,DRAFT_REWRITTEN,batch01,7cd5059d18dc5d2e243b56a4abf7c3f7193428589c55b7e797289d691ac68d46,f1491ba626e27d1abaa82ed9010b94652972da1ab096d239e7785b75fdc95b68
104,V0615,DRAFT_REWRITTEN,batch01,3c3b451e7f633cd5cd3337d44eee236c9e2e0ab35b576c3f74bb3d8c502edc63,a887e958f682c0e9d15370cce8788c1474f1ec8fbdf92759d7e7f30e0c11b11b
105,V0397,DRAFT_REWRITTEN,batch02,af4323b6e7173aefed55c24552b63933409c029b6f47a12f25441558448bf951,c0fe2f6f15c997c987146667d78aaf4775e035caa1784a2df467a9ecbc59cc49
106,V0922,DRAFT_REWRITTEN,batch02,edfcda3cbcf8f9d0f5c3bd3a9aa0f6789f8d85a0ab83bffd1bb3775dc7c97331,4699cfc21c6d5b2dcf2a710dbb9595fa59bea84084534febf0834aabf40b984d
107,V0977,DRAFT_REWRITTEN,batch02,3ace7fe864aea8f11a0efc0960fbd3db6802e24bbb9c875caf35a70bf491458f,52e8b85b3de4093d0354a2a78af86ff778c6d5027929e60d8702dfab2d6dd92c
109,V0218,DRAFT_REWRITTEN,batch02,a936f2aaaca23c03f329c7e1f7d2c8d33d981b6e70f5bc19b9b8cf562f5062ab,c93a9c9ce2435e0d6d1b986c754e237afd55a433485f77b6c5d4b6cdf43bb544
110,V0548,DRAFT_REWRITTEN,batch02,76a519f8b3538d3393d94db27fb7b91866028e29d592ccf78a710bcc3b41f399,e908c5aab842bf2b36644bba83f85016f6820ceaa5cf05b4812e78f57fbcb7ca
112,V0391,DRAFT_REWRITTEN,batch02,33b00565c881ef855c85f576940e16b6e0bbb93fa4975b27c5becba1fd821d78,53b3fae9f7139cb0c30e29d33129f8b1bc895591a6f504f5985d17b1cf80cc67
113,V0455,DRAFT_REWRITTEN,batch02,000c5486db67d41def885fe1f0327c3dd6e08cd5c0fbe891721d450a09ddaf08,5829126a8427253f83529d92a6568097b41da7eb7d47e2f6bb6bc6909a99eef4
114,V0195,DRAFT_REWRITTEN,batch02,662708d65e2ba31dcada51e429a32febc06fdc9877b24f0ce0211db39bf22ba1,f7503114df820a3ed7fd0f08806458deccbbf22506ac483f9a0df5b4947cd87c
118,V0273,DRAFT_REWRITTEN,batch02,98880a6d6de357fbb0d661d0b3b9af92735ef080438ef651068b5e67cdaeb98a,9ea7d006730d886da0180dd54c8c850d2134d9b0953d4a7408d321bdf104be13
121,V0217,DRAFT_REWRITTEN,batch02,e0b84e8c5eb6fe2ab283198dbf197a51a407c9d7781e442170aeeb5c8af710a2,1607cc0c4f33946298ee0c28f55ddd0f8e112f0e24077bdafbb7e55c709edae7
122,V0625,DRAFT_REWRITTEN,batch02,aa6ba77b427ec686ac0e233a1e95199aceec350c99ce72a84e19f99bb9ec1648,6963e5fc1d46c8682a5a68984128a19142ea9d7ef82928afd4fbbad87eaa22cc
124,V0916,DRAFT_REWRITTEN,batch02,433f6266798fa82de6e71b3c0665c691c66b0d6084da85196df28a611ed9302b,4dd8d1472e4513773fa8e7415ccf466c93766bc8d8da1f1289bc204e93dd36ad
126,V0780,DRAFT_REWRITTEN,batch02,8f87e4c05c0dbc42368206d62461a4f050587e458ed046b439b817e0089f3b7d,46cde5937505e80eb80d5f3499b76eb2b4f1aef40008480db0067781a86d3c98
128,V0633,DRAFT_REWRITTEN,batch02,33ca72c95f36c905029d3ceddf55bf67be5217f2bf33222f8cda6ebc48ac2070,d4343f8ab68c38d5be70087454799d11a5f112572193679d7b1818241f8b3acf
130,V0189,DRAFT_REWRITTEN,batch02,62d9969fa1798447a131e0d6eb976a4e95c889b38fff00e744c76d5a413c9df7,1b56d0c4c9024071e65a71ecbfdc960258b8571bba5bd058c2daa64b3f04616b
133,V0889,DRAFT_REWRITTEN,batch02,54533327d78dd01344a0822420f756a9d7a4759499c902cd608cb1bd9236ecae,3fa7547acc140f41d4eab7bf021396f17e4a716ae2f894d0aa06af7f17334136
135,V0997,DRAFT_REWRITTEN,batch02,730822cc80fc30635971ac24ef471b2174f7eef046f2560256e490d3e9114225,0fdedc6d6bd0fac09d00005b102239f75b8ee8036ce861a00d92475751eeaac4
140,V0978,DRAFT_REWRITTEN,batch02,dc74fae890d36bb25c2860e8b5c09bf26a51bd2c0f1ee10997eb23090024e91f,eae8a5cf20e9fa2c39ceb71ea2e2a7f4431a76a91e51f41c246af43cb72c7c5b
141,V0520,DRAFT_REWRITTEN,batch02,fd43ed7e2dbb894019c2e7445ede8ec6f934c7b16817aabb8cf051afcfb4144b,56df3d67994cdf4cd19e955645f4c9cd2cbbec5e4c09a6ffe7d550a02ae7347b
142,V0820,DRAFT_REWRITTEN,batch02,e04eef22680e01fe20e393c89c7f667fd4b7f08e9dc4f662e21801e1370915a5,2829b298954f8da303b020420d1c7f8eb788bad248d49389bd42e9b2c474687a
148,V0631,DRAFT_REWRITTEN,batch02,0889007b347c735028fe504086bb139c103050fc79efd02a103fefd66f2b6a91,012028b87ed51624a18a8679fe64cdc498db5a9114ea107bad34da3511bc8786
150,V0628,DRAFT_REWRITTEN,batch02,bfcac86d72a42e2a73dd9652f4653c28abf9766ab03a145b34bbf82619c9a653,a201f7182a0ef6f7dd456db33451743e82c1ffb5c118c74f8da756a23367a82e
152,V0457,DRAFT_REWRITTEN,batch02,8abd634463e4a3c84327d833f1d07f69d157ee2b5c37c82a5151fb670e8f3372,5bd9724ee036c5d8b504d29bbccfcdd4b4c69e634cd705862c1d18f5c54ab278
153,V0767,DRAFT_REWRITTEN,batch02,0e2da9828d0a0724464620770468234478583d3fc6c8dba750d5425dd0d4659b,832c45eea76d22f4db8351a34917b8f5eceb41a578af9056f5b3fbf0948dde47
154,V0388,DRAFT_REWRITTEN,batch02,f8dc4ab80dfb44348201967864da99ab7b1f44c64fd8e986419b2c1832c34815,923f00c1ff5fba001612238e0d913a38b589f3910440e4803dd847506bf1de15
155,V0467,DRAFT_REWRITTEN,batch02,f53aa38ebe88a04c7ed70afe53d27775eb2a637c4d97c22dc751bb914225dc45,8a840d93e1c8f5a5c83a8151bc62ff3b8d3d373cca04e53866d6c813c4dc7109
162,V0188,DRAFT_REWRITTEN,batch02,ffc6ca738164f9973c5c677cdfd16424a9da981fa909c15263fbd0186fed2d81,7f4f07746a42e83486c20c5018333813f7d9ece88357ec19adaf40530e2e5338
163,V0346,DRAFT_REWRITTEN,batch02,1cd5d572d7677689cfe53f3651e01324cf6ed480161dd12b30d8b4232df9fc35,1048d6ed35430d50df1c79815af99789666fbc94dedb91085e2a9467a8bafac5
164,V0913,DRAFT_REWRITTEN,batch02,dc2184363804d8ac6f0450aa9c88bf3d9ea3bc60feb4b8884dc02f1afa1db4e5,287bd6c4fc0f0232cf7905fc7c69acd18ad1fcfb75d5bc03a9e5a963b14d3819
167,V0297,DRAFT_REWRITTEN,batch02,4e1182010932f6ad8859ad586c7635e80ece588a772a335aaab8b2f339901294,c5d51506f044705fb80b142634a48d48421b20cad7c59bf3cb7541bf052caef4
172,V0795,DRAFT_REWRITTEN,batch02,08d58713534ea3955760823a9e55fdae76d7b3a8372155251d5256a67af438ac,7573c7f81d7e9c470dc0bcd22c52aab5171d3772782a9725b060221404246d50
174,V0256,DRAFT_REWRITTEN,batch02,5d9c7b296b2e663f7c522e9f237af3f0cb629ed0bfa17ae013f741058a39e661,279a2b39f612fb9dea471b2c73c4cfd1a856b840bdd3fc177db415e4b5272e2b
175,V0764,DRAFT_REWRITTEN,batch02,3114b4a6e796e0c6b6c8f62504e390bfa9f3646b247bcf1c0116159a323695ad,914734ca81c2e4ea1f874d082a69b0ed616917b7bf2260edd852fd9e7f2ed81b
179,V0386,DRAFT_REWRITTEN,batch02,a54946dde6be06e454eca5dcbd1bcd80cab26cf844ff7ed59851270552105c7b,0266b789980e53d890ce45d7ff5c15bf9206acfd1c5ab07632d09ca2979dc0df
180,V0504,DRAFT_REWRITTEN,batch02,fc2f51749ea626cec7bb8f9da6a7d3fd084eb86e56cd65e3d416b148a8b4e4b2,febf65939c3da41867b5f86320d576947df7e67fc15bbe86e08a132511322381
182,V0517,DRAFT_REWRITTEN,batch02,8abd634463e4a3c84327d833f1d07f69d157ee2b5c37c82a5151fb670e8f3372,ddaa69369ee99d1a24dc58cbf6142195dada4b86aac366f3e0986c2a06209a5b
184,V0645,DRAFT_REWRITTEN,batch02,ee34bde92a27e6c77986863d46b594100a1596aceafb6b9166488429551ab96d,45453177b963502d49522532dbbdfb73f3ccc7b7b73c3d350d28d1812efb14b1
191,V0984,DRAFT_REWRITTEN,batch02,e052767ce859700adbfb6ba594c3fb02e4476ea887f53db25f59d93f9f61c6b8,fcd55358e5d2ed85e39bf83bb53cce9c1f880b5248fbd118b8e022f4f8b3ebd8
192,V0318,DRAFT_REWRITTEN,batch02,06d7fb3dfbb1470dcd85caef30b9feeb1791cec5815abb953a1ddd7219b18860,ed7b636d042678ac2f2fc07d5f634ed7520bc9e568703ee2c170352c1bc6a756
195,V0255,DRAFT_REWRITTEN,batch02,f0a15cfd5bab031d29603a9b53e388693e90221820eeb065e53dc499e0c54100,f2a0bdd3459bfc1dcb46d893779c1e7b87cb2cbe173235cd77a38936629cf78d
196,V0743,DRAFT_REWRITTEN,batch02,71ac0f16c3f6a24de0bce75b0002cb0f320c7291c8475ba9bc0de9992dc73b1d,d49bd17a512d023426b2c0ea78e0f957b28e24f177d75e0348eb15147e6095b6
197,V0509,DRAFT_REWRITTEN,batch02,8f1d42568b8dbf17e7c91bff654e0a735fac164254bb4702c69d30672e535db0,e407bdc141ac002fe65814705136f8a6f30f93a834e70135812ac8c2efa80047
199,V0755,DRAFT_REWRITTEN,batch02,62e0f4d0457d9e08e35cf97df99996d75c99755149132926bcd2c87fe52dbafa,35a573eb676626255d1f4fa6279a3acb8923bd5bb87cafd32060234058f7cd23
